PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=112 time=21.1 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=112 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=112 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=112 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=112 time=22.0 ms

--- 8.8.8.8 ping statistics ---
5 packets transmitted, 5 received, 0% packet loss, time 4006ms
rtt min/avg/max/mdev = 21.119/22.303/23.285/0.833 ms
PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=112 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=112 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=112 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=112 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=112 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=112 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=112 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=112 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=112 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=112 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=112 time=21.0 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=112 time=23.8 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=112 time=71.5 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=112 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=112 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=112 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=112 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=112 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=112 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=112 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=112 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=112 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=112 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=112 time=25.6 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=112 time=24.7 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=112 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=112 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=112 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=112 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=112 time=21.0 ms
